date,home_team,away_team,home_score,away_score,goal_diff,tournament,country,neutral,home_is_host,elo_diff,home_higher_elo,home_recent_win_rate,away_recent_win_rate,recent_form_diff,home_avg_goals_last10,away_avg_goals_last10,diff_in_avg_goals,home_total_goals_last10,away_total_goals_last10,home_total_conceded_last10,away_total_conceded_last10,diff_in_total_conceded,tournament_weight,match_result
2000-02-13,Singapore,Japan,0,3,-3,AFC Asian Cup qualification,Macau,True,0,-128.0,0,0.4,0.1,0.30000000000000004,1.1,0.6,0.5000000000000001,11.0,6.0,8.0,14.0,-6.0,2,away_win
2000-02-14,Haiti,Peru,1,1,0,Gold Cup,United States,True,0,-154.0,0,0.4,0.4,0.0,1.6,1.5,0.10000000000000009,16.0,15.0,19.0,13.0,6.0,4,draw
2000-02-14,Jamaica,Honduras,0,2,-2,Gold Cup,United States,True,0,81.0,1,0.4,0.7,-0.29999999999999993,1.2,2.4,-1.2,12.0,24.0,13.0,9.0,4.0,4,away_win
2000-02-14,Turkmenistan,Nepal,5,0,5,AFC Asian Cup qualification,Kuwait,True,0,92.0,1,0.3,0.4,-0.10000000000000003,1.2,1.8,-0.6000000000000001,12.0,18.0,22.0,17.0,5.0,2,home_win
2000-02-15,Chile,Slovakia,0,2,-2,Friendly,Chile,False,1,-8.0,0,0.4,0.5,-0.09999999999999998,1.5,0.8,0.7,15.0,8.0,14.0,12.0,2.0,1,away_win
2000-02-15,Australia,Bulgaria,1,1,0,Friendly,Chile,True,0,-153.0,0,0.4,0.3,0.10000000000000003,2.5,1.0,1.5,25.0,10.0,15.0,11.0,4.0,1,draw
2000-02-15,Trinidad and Tobago,Guatemala,4,2,2,Gold Cup,United States,True,0,81.0,1,0.4,0.2,0.2,2.4,0.9,1.5,24.0,9.0,17.0,13.0,4.0,4,home_win
2000-02-15,Canada,South Korea,0,0,0,Gold Cup,United States,True,0,-87.0,0,0.4,0.4,0.0,1.0,0.9,0.09999999999999998,10.0,9.0,9.0,7.0,2.0,4,draw
2000-02-15,Malaysia,Maldives,2,0,2,Friendly,Malaysia,False,1,122.0,1,0.4,0.4,0.0,1.5,1.4,0.10000000000000009,15.0,14.0,23.0,17.0,6.0,1,home_win
2000-02-16,Macau,Singapore,0,1,-1,AFC Asian Cup qualification,Macau,False,1,-288.0,0,0.3,0.4,-0.10000000000000003,1.1,1.1,0.0,11.0,11.0,40.0,10.0,30.0,2,away_win
